순번,현장명,공정률,공사규모,재해일자,발생형태,기인물(대),기인물(중),기인물(소),기인물상세,소업종명,규모,직종,연령,성별,근속기간,재해요일,재해시간,재해개요,시설물(대),근로자수
110,Pyeongtaek Vision Jugong Complex 1 Reconstruction,Less than 20 to 30%,Less than 50 billion to 100 billion won,20071026,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,200 ~ 299 people,Construction-related technicians,49,other,less than 1 month,friday,11 o'clock,"While finishing the slab formwork on the first basement floor of Apartment Building 106 at the reconstruction site of Jugong Complex 1 in Bijeon-dong, located at 488 Bijeon-dong, Pyeongtaek-si, he lost his balance and fell 4.5 meters below the basement floor and died.",Residential and commercial facilities,260
111,Gimpo Yangchon EAEN Apartment-type Factory Construction,Less than 30 to 40%,More than 100 billion won,20071101,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,"1,000 ~ 1,999 people",Construction-related technicians,39,other,1 month to less than 2 months,thursday,20 o'clock,"During the process of dismantling the safety belt that tied three pieces of material (table form) that had been lifted from the first basement level to the second floor above ground by a tower crane, the materials fell down, causing *** and Kim Geun-sik, who were working on the second floor, to fall 6 meters down. It was an accident in which *** died and Kim Geun-sik was injured.",Residential and commercial facilities,1240
112,Dong branch apartment painting work and rooftop waterproofing,Less than 20 to 30%,Less than 40 million to 100 million won,20071022,fall,Not applicable,Not applicable,Not applicable,Not applicable,Other construction work,5 to 9 people,Architectural finishing related skills,58,other,less than 1 month,monday,17:00,"At the Dongjeom Apartment painting and rooftop waterproofing work site of Hyundai Engineering & Construction Co., Ltd., an exterior wall painter named '***' lost his balance and fell 13 meters below the 5th floor rooftop while boarding a scaffolding 1m40 below the roof, resulting in his death.",Residential and commercial facilities,5
113,Jungri Jugong Apartment Reconstruction Apartment,Less than 40 to 50%,More than 100 billion won,20070916,stuck,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,"1,000 ~ 1,999 people",plumber,40,other,2 months to less than 3 months,sunday,09:00,"On September 16, 2007 (Sunday), at approximately 09:20, the deceased, a plumber from Orient EMC, a partner company, used an aerial workbench to use a sprinkler inside the underground parking lot of building 103 of Lotte Construction Co., Ltd.'s Jungri Lotte Castle new construction site in Jungri-dong, Seo-gu, Daegu. This was a disaster in which a person died due to a narrowing between the sprinkler pipe and the ceiling during the pipe branch installation work.",Residential and commercial facilities,1172
114,05Seongnam Pangyo District Apartment Construction Section 4,Less than 30 to 40%,More than 100 billion won,20071106,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,500 ~ 999 people,"Construction, electrical and production managers",49,other,1 month to less than 2 months,tuesday,09:00,"While working on the 14th floor of building 914 of Seongnam Pangyo Jugong Apartment, the deceased and two deaf people were working in pairs to remove concrete by-product residue from the surface of the aluminum form attached to the wall, around 09:40, they suddenly felt cramps and pain in their legs. This is a disaster in which a person collapsed while complaining, was taken to the hospital, and died while receiving treatment.",Residential and commercial facilities,542
115,Sejong multi-family housing,Less than 50 to 60%,Less than 300 million to 500 million won,19950325,etc,"People, animals and plants","People, animals and plants",Infectious and parasitic organisms,fungi,Architectural construction work,16 to 29 people,,,other,6 months to less than 1 year,Saturday,09:00,,Residential and commercial facilities,16
116,Small and Medium Business Corporation Daejeon Panam Apartment-type Factory Construction,Less than 40 to 50%,Less than 2 billion to 5 billion won,19971013,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,work platform,scaffolding work platform,Architectural construction work,30 to 49 people,,43,other,less than 1 month,monday,17:00,"Woodworking *** At the construction site of a new apartment-type factory in Ipanam-dong, while fixing a dry window on an exterior wall about 4 meters high, the hammer slipped and he tripped on the scaffolding and fell.",Residential and commercial facilities,32
117,Hanmaeum Apartment new construction,Less than 70 to 80%,Less than 50 billion to 100 billion won,19980718,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,300 ~ 499 people,,64,other,4 months to less than 5 months,Saturday,07:00,Cerebral hemorrhage immediately after being discharged from work at the outbreak site,Residential and commercial facilities,416
118,Yongin Suji Apartment,over 90,Less than 50 billion to 100 billion won,19991012,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,500 ~ 999 people,Other service-related simple employees,55,other,6 months to less than 1 year,tuesday,14:00,This is a disaster in which I suddenly lost consciousness while working on tape on the staircase after lunch in the stairway hallway of the kindergarten building in the apartment site.,Residential and commercial facilities,648
119,Yongin Suji Civil Servant Apartment,Less than 70 to 80%,Less than 50 billion to 100 billion won,19991030,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,300 ~ 499 people,Other service-related simple employees,58,other,5 to less than 10 years,Saturday,12 o'clock,"The victim was unable to leave the office due to headaches and dizziness at Suji Civil Service Apartment. Around 15:00, he was out of his mind, wandering around without his shoes on, so a co-worker took him home. In the evening, his mouth started spinning and he started to feel paralyzed. Admitted to the hospital the next day",Residential and commercial facilities,304
120,Busan Metro City 3rd Apartment and M/H,Less than 30 to 40%,Less than 20 billion to 30 billion won,20001007,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,work platform,Work stool (workbench),Architectural construction work,300 ~ 499 people,,53,other,less than 1 month,Saturday,14:00,"In Dancham, *** after completing the plastering work on the railing ridge by unfastening the scaffolding in Section B of Building 412, Building 412, WeLG Metro City Parking Lot 3, and completing the railing ridge plastering work, the moment you move your body for plastering work on the lower wall, your body It was an accident in which he lost his balance and fell to the second basement floor.",Residential and commercial facilities,382
121,Hwagok Jugong Pilot APT Reconstruction Project,Less than 60 ~ 70%,More than 100 billion won,20010824,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,less than 5 people,Goods moving equipment operator,40,other,2 to less than 3 years,friday,17:00,"*** While working at the reconstruction site of the Jugong Pilot Apartment in Ihwagok-dong, Park Hyun-jin radioed that he was feeling sick. When he climbed onto the tower crane, he was unable to move his body.",Residential and commercial facilities,4
122,Yongin Dongcheon Shinmyeong Apartment new construction,Less than 60 ~ 70%,Less than 20 billion to 30 billion won,20030418,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,unclassifiable,67,other,5 months to less than 6 months,friday,09:00,"The victim, Kim Gwang-sik, was swept to the left while sitting down to remove the internal bedding for waterproofing the PIT floor of the basement stairs of the apartment at the new Shinmyeong Apartment construction site in Yongin Dongcheon.",Residential and commercial facilities,130
123,Wolgok-dong Doosan APT balcony sash construction,Less than 60 ~ 70%,Less than 300 million to 500 million won,20030430,fall,"Buildings, structures and surfaces","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information",Other construction work,16 to 29 people,Architectural and civil engineering technicians and testers,21,other,less than 1 month,wednesday,16:00,"The victim, Mang ***, was trying to install a shot on the balcony of Room 1603, Building 125, Doosan Apartment, Wolgok-dong. The door of Room 1603 was locked, and while trying to go down through the veranda of Room 1703, he fell and died.",Residential and commercial facilities,16
124,The# Jincheon-dong apartment new construction,Less than 30 to 40%,More than 100 billion won,20040920,fall,"Buildings, structures and surfaces",Other buildings and structures,"Other buildings, structures, etc.","Other buildings, structures, etc.",Architectural construction work,500 ~ 999 people,unclassifiable,55,other,less than 1 month,monday,16:00,"2004.9.20 Around 4:00 p.m. Disaster: After completing the parking lot work at the back of Building 104 at the #apartment new construction site in Ijincheon-dong, I was instructed to support masonry work on the inside bathroom on the first floor of Building 104. 2004.9.20: Around 4:00 p.m. Disaster: ***After completing the parking lot work at the back of building 104 at the #apartment new construction site in Ijincheon-dong, I was instructed to support masonry work on the bathroom on the first floor of building 104. While crossing the barricade to prepare for the work, I lost my balance. Who hits his head on the floor while falling? 0041027",Residential and commercial facilities,565
125,"Rasong Apartment construction in Sigi-dong, Jeongeup-si",Less than 20 to 30%,Less than 30 billion to 50 billion won,20050708,fall,"Buildings, structures and surfaces",ends and openings,end,end,Other construction work,200 ~ 299 people,Assembler of transportation vehicles and machinery,47,other,1 month to less than 2 months,friday,16:00,"2005.7.8. Around 16:00, while installing a construction lift (hoist car) at the new construction site of Rasong Apartment in Jeongeup, Hanto Construction Co., Ltd., while drilling on the ceiling to fix the construction lift support to the building at the 4th floor of the building, the drill bit broke into the concrete. While penetrating the rebar, the victim got caught in the rebar, lost his balance due to the impact of the hammer drill, fell, hit his head on the floor, and died at the scene.",Residential and commercial facilities,229
126,Seochang Lim Gwang You Apartment Construction,Less than 30 to 40%,Less than 50 billion to 100 billion won,20051213,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,500 ~ 999 people,Simple construction and mining workers,65,other,1 month to less than 2 months,tuesday,07:00,"The victim had been working as a daily laborer at the construction site of the Im Gwangdae apartment complex in Seochang-dong, Namdong-gu, Incheon since November 1, 2005. On the day of the accident, December 13, 2005, the victim arrived at the construction site in Seochang-dong at 06:30 a.m., had breakfast, did gymnastics at 07:15, and then 07:00. He was put into work for 30 minutes and worked with fellow worker Yang Eui-hyo on the first basement floor, working on a sappodo (a 1.5-2 meter long iron stand weighing about 7-8kg). He carried two sappodos on his shoulders and walked about 5 meters. Later, due to lack of blood circulation and feeling unwell, he told his co-worker that he could no longer work due to a headache. He came out to the ground and was transported to Gil Hospital by the 119 emergency team, where he was diagnosed with intraparenchymal hemorrhage. Since then, he has been receiving treatment at Nazareth Oriental Medical Hospital to this day.",Residential and commercial facilities,520
127,Cheongju Sannam Prugio new construction,Less than 60 ~ 70%,Less than 50 billion to 100 billion won,20060426,fall,"Buildings, structures and surfaces",formwork and braces,formwork,Monolithic formwork,Architectural construction work,300 ~ 499 people,unclassifiable,43,other,6 months to less than 1 year,wednesday,07:00,"While working as a formworker at a new construction site for an apartment complex in Block 2-2 of the Sannam 3 housing development district, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, he suffered a disaster when the gangform fell while dismantling the gangform.",Residential and commercial facilities,318
128,Seosan-dong Mun-dong Halla Vivaldi Apartment,Less than 70 to 80%,Less than 50 billion to 100 billion won,20061023,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,500 ~ 999 people,Architectural finishing related skills,48,other,less than 1 month,monday,14:00,"2006.10.23.14:55 A victim who was working at a construction site suddenly showed signs of vomiting and collapsed. After being taken to the hospital, he was diagnosed with cerebral hemorrhage and requested medical treatment.",Residential and commercial facilities,510
129,Bird stop light installation work in front of Pocheon Apartment on National Route 43,Less than 70 to 80%,Less than 100 million to 200 million won,20061219,fall,"Buildings, structures and surfaces",stairs and ladders,stairs,Stairs lacking detailed information,Architectural construction work,5 to 9 people,simple laborer,48,other,less than 1 month,tuesday,13 o'clock,"At the bird stop light installation site in front of Pocheon Apartment on National Route 43, while working on the soundproof wall installation at Hwahyeon Overpass in Pocheon, while climbing the ladder on the retaining wall to install the soundproof panel, the ladder slipped and fell under the bridge.",Residential and commercial facilities,8
130,Taeil Gahyeon-ri Row Housing Corporation,Less than 80 ~ 90%,Less than 1 billion to 2 billion won,20070307,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,16 to 29 people,unclassifiable,77,other,5 months to less than 6 months,wednesday,16:00,"On March 7, 2007, while talking about the execution and non-execution of part of the field funds at the field office, *** During the process of raising an objection because the execution portion of the complaint (direct labor expenses for daily workers) was not executed, This was a disaster where opinions were not coordinated with the company, so after about 50 minutes of meeting time, the person sat on the sofa complaining of a headache and ended up going to the hospital.",Residential and commercial facilities,17
131,Jangnim 2-dong Gangnam Apartment access road to Dadae-ro road construction (4th),Less than 60 ~ 70%,Less than 100 million to 200 million won,20070903,Traffic accident outside the workplace,Transportation,land transportation,Ground transportation/special vehicles,cargo transport truck,Architectural construction work,less than 5 people,Construction-related technicians,56,other,1 month to less than 2 months,monday,06:00,"The victim *** was on the side of the existing road uphill in front of the “Janglim 2-dong Gangnam Apartment Entrance ~ Dadae-ro Road Construction” site at around 06:50 on September 3, 2007 (Monday), a truck owned by the victim (6252 Busan 80-ro). He parked and got out, but while he was pushing the truck backwards with his body, his left lower back was crushed by the truck wheel. He was taken to Kosin University Gospel Hospital, but died around 8:45 on September 3, 2007.",Residential and commercial facilities,2
132,Samjeon-dong 71-32 multi-family housing construction,Less than 10 to 20%,Less than 200 million to 300 million won,20071028,explosion/rupture,"Containers, supplies, furniture and utensils","Containers, packages and utensils","Containers, packages and utensils for transport and packaging","cans, drums",Architectural construction work,5 to 9 people,Architectural and civil engineering technicians and testers,65,other,1 month to less than 2 months,sunday,17:00,"While trying to take a break at the 71-32 Samjeon-dong site, I found empty cans of urea foam stacked in the corner of the first floor. It was raining and the air pressure was low, so I lit a cigarette without realizing that the empty can was leaking gas and had an accident.",Residential and commercial facilities,5
133,Kyungpook National University Geumoh College of Engineering Student Dormitory Private Investment Facility Project (C Area),Less than 5 to 10%,Less than 15 billion to 20 billion won,20071107,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,50 to 99 people,"Construction, electrical and production managers",56,other,3 to less than 4 years,wednesday,09:00,"On November 7, 2007 (Wednesday), around 7:00 a.m., I went to work at the site office for the construction of a new student dormitory at Kyungpook National University, checked the site surroundings, and gave work instructions. At about 09:30, during a work meeting in the supervision room on the second floor of the site office, I experienced symptoms of paralysis and difficulty breathing. This is a disaster in which he collapsed while feeling 119 and was taken to Daegu Fatima Hospital by ambulance and died at 01:10 on Friday, November 16, 2007 while receiving treatment.",Residential and commercial facilities,97
134,Icheon SKT apartment type factory finishing work,Less than 20 to 30%,Less than 2 billion to 5 billion won,20071112,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,scaffolding,Other construction work,50 to 99 people,simple laborer,58,other,less than 1 month,monday,09:00,"At the site at 71-1, Godam-dong, Icheon-si, while working on the concrete talc work on the upper part of the first floor from the upper part of the P/T Asiba using a hammer drill, he fell to the lower part and hit his head on the concrete floor.",Residential and commercial facilities,58
135,Wonju Usan Complex 1 Halla Vivaldi Apartment new construction,Less than 20 to 30%,Less than 50 billion to 100 billion won,20071125,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,double rope scaffolding,Architectural construction work,less than 5 people,Construction-related technicians,36,other,1 month to less than 2 months,sunday,14:00,"2007.11.25. At approximately 14:30, the victim *** (pseudonym: Song No-jun) was coming down the B/T stairs after completing foam work on the basement floor of building 109 at the Halla Vivaldi Apartment site in Woosan-dong, Wonju, when he slipped and fell about 2 meters.",Residential and commercial facilities,0
136,Busan Jeonggwan District Gyeryong Richville Apartment Construction,Less than 50 to 60%,Less than 50 billion to 100 billion won,20071207,fall,"Buildings, structures and surfaces",formwork and braces,formwork,Monolithic formwork,Architectural construction work,300 ~ 499 people,Construction-related technicians,55,other,3 months to less than 4 months,friday,11 o'clock,"2007.12.7 Around 11:15, the person fell from the 18th floor while dismantling the gang form in building 108 of the Gyeryong Richville Apartment new construction site in Jeonggwan district, Busan, located in A-14BL, Jeonggwan residential area, Jeonggwan-myeon, Gijang-gun, Busan, and died on the spot.",Residential and commercial facilities,482
137,Yongin Hagar Shinan Insville Apartment Complex 2,Less than 50 to 60%,Less than 5 billion to 10 billion won,20071207,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,work platform,scaffolding work platform,Architectural construction work,less than 5 people,simple laborer,45,female,3 months to less than 4 months,friday,15 o'clock,"Please refer to the disaster report - Chunja Jeong, a worker identified by Yangchang Construction Co., Ltd., fell between the gap between the wall and the gangform while working on the corner gangform scaffold for exterior surface treatment at the corner of a small room on the 11th floor of Unit 3, Building 204, from the 11th to the 8th floor. Falling from a construction lift railing",Residential and commercial facilities,0
138,Busan Beomil-dong Maje Tower residential and commercial complex construction,Less than 30 to 40%,Less than 50 billion to 100 billion won,20071130,fall,"Buildings, structures and surfaces",Other buildings and structures,"Steel beams, trusses","steel frame, truss",Architectural construction work,200 ~ 299 people,unclassifiable,48,other,6 months to less than 1 year,friday,14:00,"2007.11.30 (Fri), around 14:14, in the multi-purpose room on the 4th floor of the Beomil-dong Maje Tower new construction site constructed by Jinheung Enterprise Co., Ltd. located in Beomil-dong, Dong-gu, Busan, a steel ball net “***” belonging to YooA Industry Co., Ltd. In order to check the work order and member connection status of this steel BRACE member connection work, during the work order from the top of the first stage of the mobile scaffold, the lifting hook installed on the upper beam fell off, and the steel beam fell, hitting the mobile scaffold and falling 1.8 meters to the floor due to the recoil. While receiving treatment at Inje University Busan Paik Hospital via Hongje Hospital due to a fall and impact on the head, the patient died from the above-mentioned cause around 2007.12.4.00:01.",Residential and commercial facilities,295
139,Hanseong Hanjin Apartment repainting work,Less than 50 to 60%,Less than 100 million to 200 million won,20070517,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,5 to 9 people,Architectural finishing related skills,30,other,1 month to less than 2 months,thursday,21 o'clock,"2007.5.17. After finishing painting the exterior wall of the apartment and watching TV at the inn he was using as a lodging, a fellow worker found him unconscious at around 21:44 and took him to the hospital, but he died around 22:20.",Residential and commercial facilities,6
140,"3-7B/L apartment new construction in Dongtan residential land development district, Hwaseong-si",over 90,More than 100 billion won,20070829,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,double rope scaffolding,Architectural construction work,300 ~ 499 people,plumber,35,other,1 month to less than 2 months,wednesday,07:00,"While working on city gas pipes on the 26th floor of Hanwha 2nd Dream Green Apartment, Block 3-7, Bansong-ri, Dongchan-myeon, Hwaseong-si, he fell and hit the scaffolding on the 3rd floor, falling on the road in front of building 630 and dying.",Residential and commercial facilities,390
141,Incheon Sorae Nonhyeon District 12B/L Hanwha Apartment new construction,Less than 40 to 50%,More than 100 billion won,20071204,fall,"Buildings, structures and surfaces",Other temporary structures,Temporary passageways and railings,safety net,Architectural construction work,"1,000 ~ 1,999 people",Construction-related technicians,42,other,less than 1 month,tuesday,16:00,"07.12.4 Around 15:40 During the installation work of the drop net system on the side wall of 1207 East at the 12B/L Hanwha Apartment new construction site in Sorae Nonhyeon District, Incheon, move the drop net system to the side wall according to the signalman's exact signal and pull the drop net while the tower work is stopped. It was a disaster in which the side wall falling net came in contact with the existing falling net due to strong winds during the throw, causing the deceased to lose his balance and fall, resulting in brain damage and skull fracture.",Residential and commercial facilities,1007
142,Banpo Jugong Complex 2 Reconstruction Apartment,Less than 40 to 50%,More than 100 billion won,20070811,fall,Equipment/Machines,"Transportation, lifting equipment and machinery",fork lift,fork lift,Architectural construction work,"1,000 ~ 1,999 people",unclassifiable,41,other,5 months to less than 6 months,Saturday,11 o'clock,"Mang' *** is located in the underground parking lot of building 201 of the Jugong 2 complex reconstruction site in Banpo-dong, Seocho-gu, Seoul. When KB C Co., Ltd. forklift driver Lim Myeong-gu was unable to move due to an electric cord hanging on the floor, the deceased asked Lim Myeong-gu to use the forklift fork. While tying an electric cable to the ceiling, he fell 1.6 meters and died. (The forklift and forklift driver are owned and affiliated with KB C, a subcontractor of the construction division of Samsung C&T Co., Ltd.",Residential and commercial facilities,1833
143,Gyeongdong Villa exterior painting,Less than 50 to 60%,Less than 10 million won,20071210,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,moon scaffolding,Architectural construction work,less than 5 people,Architectural finishing related skills,38,other,less than 1 month,monday,13 o'clock,"The injured worker tied a rope to the hardware supporting the water tank pipe on the roof of the exterior wall of Gyeongdong Villa located at 284-8 Jaeun-dong, Jinhae-si at the above date, and while painting the exterior wall of the building, the tied hardware could not withstand the load and fell off, causing him to fall about 9 meters to the floor. died",Residential and commercial facilities,1
144,Cheonho-dong residential and commercial complex construction,Less than 80 ~ 90%,Less than 20 billion to 30 billion won,20080110,fall,"Buildings, structures and surfaces","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information","Buildings, structures and surfaces lacking detailed information",Architectural construction work,100 ~ 199 people,Construction-related technicians,50,other,less than 1 month,thursday,16:00,The victim closed the oxygen pressure machine valve on the 11th floor and was going down to the 10th floor when he tripped and fell to the 7th floor.,Residential and commercial facilities,128
145,Mokdong Tra Palace new construction,Less than 70 to 80%,More than 100 billion won,20080107,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,500 ~ 999 people,unclassifiable,59,other,2 months to less than 3 months,monday,10 o'clock,"2008.01.07. Around 10:40, while transporting gypsum boards with a colleague on the 24th floor of the new Mokdong Tra Palace construction site located in the area of ​​406-395 Mok-dong, Yangcheon-gu, Seoul, the victim suddenly began to experience symptoms of 'no vision' and 'paralysis'. He showed symptoms of collapsing and saying, 'I'm coming', and was treated in the intensive care unit of Hangang Sacred Heart Hospital by 119 ambulance via Ewha Womans University Mokdong Hospital. He died the following day at around 10:55 on January 8, 2008 due to intraparenchymal hemorrhage.",Residential and commercial facilities,703
146,"Geumho 2nd Jinheung W-Park apartment building construction in Geumho-dong, Gwangju",Less than 30 to 40%,Less than 50 billion to 100 billion won,20071128,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,200 ~ 299 people,simple laborer,61,other,2 months to less than 3 months,wednesday,07:00,"While going to work at the 2nd Jinheung w-park apartment construction site in Geumho-dong, Seo-gu, Gwangju, and changing work clothes in a container box, he fell unconscious and was taken to Seogwang Hospital, but he had already died.",Residential and commercial facilities,278
147,Jochiwon Jukrim Ubang Yushell Apartment Construction,Less than 60 ~ 70%,Less than 50 billion to 100 billion won,20071230,collapse,"Buildings, structures and surfaces",floor and ground surface etc.,slope and bedrock,slope and bedrock,Architectural construction work,less than 5 people,unclassifiable,49,other,1 month to less than 2 months,sunday,13 o'clock,"December 30, 2007, around 13:00, at the new construction site of Yushell Apartment in Jukrim-ri, Jochiwon-eup, Yeongi-gun, Chungcheongnam-do, while the deceased was moving using the excavated bottom surface dug to lay a sewage pipe, the soil loaded on the upper part of the excavation surface collapsed, causing sediment to fall. He was taken to a medical facility due to an accident in which he was buried up to his chest, but he died.",Residential and commercial facilities,1
148,Songjeongae multi-family construction,Less than 10 to 20%,Less than 200 million to 300 million won,20080102,fall,Equipment/Machines,Construction and mining machinery,Excavation and loading related machinery,white tiger,Architectural construction work,5 to 9 people,Construction-related technicians,55,other,less than 1 month,wednesday,12 o'clock,"At a multi-family new construction site located at 282-1 Juan-dong, Nam-gu, Incheon, the deceased was in the process of installing a silver sheet on a rebar H-beam with Bong Ha-sik, an excavator engineer belonging to Gaya Construction Heavy Industries (Management Number: 119-07-78117-0). While working on an excavator bucket, he fell to the ground and was taken to Inha University Hospital by the 119 ambulance and received emergency treatment, but he did not recover and died around 20:04 on the same day.",Residential and commercial facilities,8
149,Cheolsan Jugong Complex 2 Apartment House Reconstruction and Maintenance Project,Less than 30 to 40%,Less than 50 billion to 100 billion won,20080212,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,200 ~ 299 people,unclassifiable,58,other,1 month to less than 2 months,tuesday,15 o'clock,"Around 15:00 on February 12, 2008, a fellow worker found him collapsed while working on organizing Euroform materials on the upper first floor of the C parking lot in front of Building 108 in the ""Cheolsan Jugong 2 Complex Apartment Reconstruction Site"" constructed by Daewoo Engineering & Construction Co., Ltd., and he was taken to the hospital. disaster caused by",Residential and commercial facilities,288
150,Main public natural water (N2594) replacement work,Less than 10 to 20%,Less than 500 million to 1 billion won,20080120,fall,"Buildings, structures and surfaces",stairs and ladders,ladder,portable ladder,Mechanical equipment construction,30 to 49 people,Mechanical equipment installation and maintenance workers,38,other,less than 1 month,sunday,12 o'clock,"At the elevator replacement construction site in Yeonsu-dong Jugong 1 complex, Yeonsu-gu, Incheon, I visited the site to check the work and checked the saw beam work on the floor of the 15th floor. While coming down the ladder, I tripped and fell to the 1st floor, resulting in ""hypovolemic shock, pelvic bone fracture, damage to abdominal organs, It is a disaster in which the deceased died from a disease called “hemothorax.”",Residential and commercial facilities,30
151,Digitech Systems Paju Factory Construction,Less than 70 to 80%,Less than 2 billion to 5 billion won,20080216,fall,"Buildings, structures and surfaces",Other buildings and structures,"Steel beams, trusses","steel frame, truss",Architectural construction work,100 ~ 199 people,Architectural and civil engineering technicians and testers,41,other,2 to less than 3 years,Saturday,11 o'clock,"2008.02.16. At around 11:00, at the new construction site of Digitech Systems Co., Ltd.'s Paju factory of Damut Construction Co., Ltd., located at 4-3, Seonyu District, Munsan-eup, Paju-si, Gyeonggi-do, the deceased, a member of Ire Industrial Company, a subcontractor, stepped on the wall structural frame (beam) outside the external evacuation window on the 3rd floor of the research building. While working on silicone caulking of the window of an external evacuation window, he slipped and fell 7 meters below the ground. He contacted 119 (Paju Fire Department Tongil 119 Safety Center Emergency Department) and went to Munsan Seoul Orthopedic Clinic at around 11:23 on the same day and then back to Inje University Ilsan Paik Hospital. He was transported to the hospital (arrived at 12:15) and emergency treatment (cardiopulmonary resuscitation, etc.) was performed, but he died at around 16:05.",Residential and commercial facilities,153
152,Gocheok 2nd District Redevelopment Apartment Construction,Less than 40 to 50%,Less than 100 million to 200 million won,20080125,fall,"Buildings, structures and surfaces",formwork and braces,formwork,Monolithic formwork,Architectural construction work,less than 5 people,Construction-related technicians,46,other,4 months to less than 5 months,friday,14:00,"The victim was ‘08. On January 25, around 14:00 p.m., a disaster occurred when a victim who was dismantling gang foam on the 4th floor of Building 109, an apartment construction site, fell to the floor of the first floor along with the gang foam while working on loosening a bolt. The patient was taken to the nearby Guro Sacred Heart Hospital and administered CPR. But he was already dead.",Residential and commercial facilities,1
153,Cheongju Daenong District 1 Geumho Eoulim Apartment Construction,Less than 50 to 60%,More than 100 billion won,20080221,fall,"Buildings, structures and surfaces",ends and openings,opening,Openings lacking detailed information,Architectural construction work,"1,000 ~ 1,999 people",simple laborer,45,other,less than 1 month,thursday,15 o'clock,"At around 14:50 on February 21, 2008 (Thursday), at a new apartment construction site being constructed by Kumho Industrial Co., Ltd., a victim attempted to connect and install the boiler and combined heat and power inverter flue installed from the 1st basement floor to the 16th floor above ground to the 17th floor above ground. This is a disaster in which a person died after falling (h = approximately 46 meters) to the floor of the first basement floor (CON, C) through an opening inside the boiler flue (stainless steel double pipe, inner diameter 1.1 meters) during work preparation (material transportation, etc.).",Residential and commercial facilities,1117
154,Seongsa-dong residential-commercial new construction,Less than 40 to 50%,Less than 5 billion to 10 billion won,20071208,Falling/drowning,Equipment/Machines,General manufacturing and processing equipment and machinery,Auxiliary and support facilities such as heating and energy,"Other auxiliary and support facilities such as heating, energy, etc.",Architectural construction work,100 ~ 199 people,unclassifiable,53,other,1 month to less than 2 months,Saturday,08:00,"2007.12.8 At approximately 07:00, the victim *** was lying on the floor with about 16 centimeters of water in the sump on the 3rd basement floor of the Setien residential-commercial complex building construction (originally constructed by Asis Development Co., Ltd.) at 707-9 Seongsa-dong, Deokyang-gu, Goyang-si, Gyeonggi-do. Witness Park Jin-seok found this and reported it to the police, but he was already dead at the time. This was the day before the accident, on December 7, 2007, when the deceased, who was inspecting waterproofing work on the 3rd basement floor with poor ventilation, heard the exhaust discharged from the gasoline drain pump used for the drain pump. It is believed that he drowned in water pooled on the floor while poisoned by gas (carbon monoxide).",Residential and commercial facilities,175
